"ISO_Alpha_3","Names1","Names1_log","Names2","Names2_log","hdi_2018","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"CHN",4,1.38629436111989,5,1.6094379124341,"0.761",554.72,14342933.96,42,1427647.786
"GRC",3,1.09861228866811,4,1.38629436111989,"0.888",477.87,205326.7346,50,10522.246
"AUS",2,0.693147180559945,7,1.94591014905531,"0.944",509.22,1380207.833,77,24898.152
"GBR",2,0.693147180559945,6,1.79175946922805,"0.932",515.8,2826441.791,77,67141.684
"USA",2,0.693147180559945,14,2.63905732961526,"0.926",529.09,21433226,67,327096.265
"BEL",1,0,1,0,"0.931",529.11,533097.4558,76,11482.178
"BHS",1,0,NA,NA,"0.814",NA,13578.8,63,385.637
"CAN",1,0,2,0.693147180559945,"0.929",519.69,1741496.79,77,37074.562
"COK",1,0,NA,NA,NA,NA,379.097592,NA,17.518
"CRI",1,0,1,0,"0.81",422.54,61773.94463,57,4999.441
"DNK",1,0,2,0.693147180559945,"0.94",534.18,350104.3277,88,5752.126
"ESP",1,0,3,1.09861228866811,"0.904",504.83,1393490.525,62,46692.858
"GUF",1,0,1,0,NA,NA,NA,NA,282.938
"HND",1,0,NA,NA,"0.634",NA,25095.35563,24,9587.522
"IRL",1,0,2,0.693147180559945,"0.955",535.42,398590.1866,72,4818.69
"ISR",1,0,1,0,"0.919",514.24,395098.6021,60,8381.516
"JPN",1,0,1,0,"0.919",590.89,5082465.811,74,127202.192
"MAC",1,0,NA,NA,NA,561.9,53859.31452,NA,631.636
"MEX",1,0,2,0.693147180559945,"0.779",443.36,1256440.91,31,126190.788
"MYS",1,0,1,0,"0.81",474.05,364684.1369,51,31528.033
"NOR",1,0,2,0.693147180559945,"0.957",530.48,403336.3636,84,5337.962
"NZL",1,0,1,0,"0.931",492.69,206768.6733,88,4743.131
"PAK",1,0,1,0,"0.557",NA,256996.3478,31,212228.286
"ZAF",1,0,NA,NA,"0.709",374.06,351430.9912,44,57792.518
"NLD",NA,NA,2,0.693147180559945,"0.944",530.27,907050.8631,82,17059.56
"BGD",NA,NA,1,0,"0.632",NA,301051.1018,26,161376.708
"DEU",NA,NA,1,0,"0.947",524.26,3861123.558,80,83124.418
"EGY",NA,NA,1,0,"0.707",397.83,317359.2932,33,98423.598
"FIN",NA,NA,1,0,"0.938",531.13,269296.3102,85,5522.576
"FRA",NA,NA,1,0,"0.901",499.18,2715518.274,69,64990.511
"GEO",NA,NA,1,0,"0.812",459.68,17742.9347,56,4002.942
"KEN",NA,NA,1,0,"0.601",NA,95501.87298,31,51392.565
"POL",NA,NA,1,0,"0.88",528.84,595862.0869,56,37921.592
"PRT",NA,NA,1,0,"0.864",525.21,238785.085,61,10256.193
"SWE",NA,NA,1,0,"0.945",509.15,530883.869,85,9971.638
"AFG",NA,NA,NA,NA,"0.511",NA,17876.54643,19,37171.921
"AGO",NA,NA,NA,NA,"0.581",NA,85000.61246,27,30809.787
"ALB",NA,NA,NA,NA,"0.795",436.73,15278.07276,36,2882.74
"AND",NA,NA,NA,NA,"0.868",NA,3154.137481,NA,77.006
"ARE",NA,NA,NA,NA,"0.89",460.49,421142.2679,71,9630.959
"ARG",NA,NA,NA,NA,"0.845",429.38,449663.5248,42,44361.15
"ARM",NA,NA,NA,NA,"0.776",NA,13672.80134,49,2951.745
"ATG",NA,NA,NA,NA,"0.778",NA,1661.962963,NA,96.286
"AUT",NA,NA,NA,NA,"0.922",519.54,445075.3917,76,8891.388
"AZE",NA,NA,NA,NA,"0.756",NA,48047.64706,30,9949.537
"BDI",NA,NA,NA,NA,"0.433",NA,3002.350447,19,11175.374
"BEN",NA,NA,NA,NA,"0.545",NA,14403.22012,41,11485.044
"BFA",NA,NA,NA,NA,"0.452",NA,15990.80321,40,19751.466
"BGR",NA,NA,NA,NA,"0.816",490.67,67925.56942,44,7051.608
"BHR",NA,NA,NA,NA,"0.852",452.36,38574.06915,42,1569.446
"BIH",NA,NA,NA,NA,"0.78",NA,20164.35007,35,3323.925
"BLR",NA,NA,NA,NA,"0.823",NA,63080.96058,47,9452.617
"BLZ",NA,NA,NA,NA,"0.716",NA,1879.616778,NA,383.071
"BOL",NA,NA,NA,NA,"0.718",NA,40895.32284,31,11353.142
"BRA",NA,NA,NA,NA,"0.765",408.76,1847795.847,38,209469.323
"BRB",NA,NA,NA,NA,"0.814",NA,5209.204817,64,286.641
"BRN",NA,NA,NA,NA,"0.838",NA,13469.24015,60,428.963
"BTN",NA,NA,NA,NA,"0.654",NA,2564.460096,68,754.388
"BWA",NA,NA,NA,NA,"0.735",398.47,18340.57337,60,2254.068
"CAF",NA,NA,NA,NA,"0.397",NA,2220.306447,26,4666.368
"CHE",NA,NA,NA,NA,"0.955",543.83,731425.4712,85,8525.611
"CHL",NA,NA,NA,NA,"0.851",455.97,282318.1597,67,18729.16
"CIV",NA,NA,NA,NA,"0.538",NA,58539.60623,36,25069.23
"CMR",NA,NA,NA,NA,"0.563",NA,38861.36203,25,25216.267
"COD",NA,NA,NA,NA,"0.48",NA,47319.6236,18,84068.091
"COG",NA,NA,NA,NA,"0.574",NA,12397.37111,19,5244.359
"COL",NA,NA,NA,NA,"0.767",413.67,323802.8081,39,49661.048
"COM",NA,NA,NA,NA,"0.554",NA,1165.840745,21,832.322
"CPV",NA,NA,NA,NA,"0.665",NA,1981.846171,58,543.767
"CUB",NA,NA,NA,NA,"0.783",NA,105354.9432,47,11338.134
"CYP",NA,NA,NA,NA,"0.887",518,24565.30085,57,1189.265
"CZE",NA,NA,NA,NA,"0.9",516.2,250680.5045,54,10665.677
"DJI",NA,NA,NA,NA,"0.524",NA,3166.329057,27,958.923
"DMA",NA,NA,NA,NA,"0.742",NA,582.4,55,71.625
"DOM",NA,NA,NA,NA,"0.756",337.71,88941.37198,28,10627.141
"DZA",NA,NA,NA,NA,"0.748",375.14,171157.8631,36,42228.408
"ECU",NA,NA,NA,NA,"0.759",414.71,107435.665,39,17084.358
"ERI",NA,NA,NA,NA,"0.459",NA,1981.857048,21,3452.786
"EST",NA,NA,NA,NA,"0.892",542.42,31471.10066,75,1322.92
"ETH",NA,NA,NA,NA,"0.485",NA,92750.11782,38,109224.414
"FJI",NA,NA,NA,NA,"0.743",NA,5504.448601,NA,883.483
"FSM",NA,NA,NA,NA,"0.62",NA,414.334298,NA,112.64
"GAB",NA,NA,NA,NA,"0.703",NA,16887.88874,30,2119.275
"GHA",NA,NA,NA,NA,"0.611",NA,66999.25805,43,29767.102
"GIN",NA,NA,NA,NA,"0.477",NA,12354.40127,28,12414.293
"GMB",NA,NA,NA,NA,"0.496",NA,1822.863404,37,2280.094
"GNB",NA,NA,NA,NA,"0.48",NA,1322.269762,19,1874.303
"GNQ",NA,NA,NA,NA,"0.592",NA,11024.71831,16,1308.975
"GRD",NA,NA,NA,NA,"0.779",NA,1211.618519,53,111.454
"GTM",NA,NA,NA,NA,"0.663",389.02,76710.40253,25,17247.849
"GUY",NA,NA,NA,NA,"0.682",NA,5173.760192,41,779.006
"HKG",NA,NA,NA,NA,"0.949",605.4,365710.755,77,7371.73
"HRV",NA,NA,NA,NA,"0.851",491.55,60415.17386,47,4156.405
"HTI",NA,NA,NA,NA,"0.51",NA,8051.188114,18,11123.178
"HUN",NA,NA,NA,NA,"0.854",522.5,163469.0429,44,9707.499
"IDN",NA,NA,NA,NA,"0.718",396.71,1119190.784,37,267670.543
"IND",NA,NA,NA,NA,"0.645",NA,2891582.351,40,1352642.28
"IRN",NA,NA,NA,NA,"0.783",433.92,603779.5565,25,81800.188
"IRQ",NA,NA,NA,NA,"0.674",NA,225232.3736,21,38433.6
"ISL",NA,NA,NA,NA,"0.949",511.8,24188.03572,75,336.713
"ITA",NA,NA,NA,NA,"0.892",500.75,2003576.145,53,60627.291
"JAM",NA,NA,NA,NA,"0.734",NA,15830.76637,44,2934.847
"JOR",NA,NA,NA,NA,"0.729",387.01,44502.8169,49,9965.318
"KAZ",NA,NA,NA,NA,"0.825",536.11,181667.185,38,18319.618
"KGZ",NA,NA,NA,NA,"0.697",NA,8454.619608,31,6304.03
"KHM",NA,NA,NA,NA,"0.594",NA,27097.96382,21,16249.792
"KIR",NA,NA,NA,NA,"0.63",NA,194.866652,NA,115.847
"KNA",NA,NA,NA,NA,"0.779",NA,1050.992593,NA,52.441
"KOR",NA,NA,NA,NA,"0.916",607.23,1646539.43,61,51171.706
"KWT",NA,NA,NA,NA,"0.806",372.3,134623.5928,42,4137.312
"LAO",NA,NA,NA,NA,"0.613",NA,18822.59475,29,7061.507
"LBN",NA,NA,NA,NA,"0.744",454.42,53367.04227,25,6859.408
"LBR",NA,NA,NA,NA,"0.48",NA,2582.242493,28,4818.973
"LBY",NA,NA,NA,NA,"0.724",NA,32600.10248,17,6678.559
"LCA",NA,NA,NA,NA,"0.759",NA,2122.451852,56,181.889
"LIE",NA,NA,NA,NA,"0.919",NA,6797.776288,NA,37.91
"LKA",NA,NA,NA,NA,"0.782",NA,84008.77393,38,21228.763
"LSO",NA,NA,NA,NA,"0.527",NA,2460.074277,41,2108.328
"LTU",NA,NA,NA,NA,"0.882",523.24,54627.41186,60,2801.264
"LUX",NA,NA,NA,NA,"0.916",508.88,71104.91911,80,604.245
"LVA",NA,NA,NA,NA,"0.866",508.22,34102.91358,57,1928.459
"MAR",NA,NA,NA,NA,"0.686",380.75,119700.6229,40,36029.093
"MDA",NA,NA,NA,NA,"0.75",443.29,11955.45662,34,4051.944
"MDG",NA,NA,NA,NA,"0.528",NA,14104.66468,25,26262.313
"MDV",NA,NA,NA,NA,"0.74",NA,5642.163793,43,515.696
"MHL",NA,NA,NA,NA,"0.704",NA,237.408066,NA,58.413
"MKD",NA,NA,NA,NA,"0.774",389,12694.82339,35,2082.957
"MLI",NA,NA,NA,NA,"0.434",NA,17432.62928,30,19077.749
"MLT",NA,NA,NA,NA,"0.895",498,14863.59891,53,439.248
"MMR",NA,NA,NA,NA,"0.583",NA,76784.53394,28,53708.32
"MNE",NA,NA,NA,NA,"0.829",441.38,5542.201626,45,627.809
"MNG",NA,NA,NA,NA,"0.737",NA,13852.85027,35,3170.216
"MOZ",NA,NA,NA,NA,"0.456",NA,15296.74515,25,29496.004
"MRT",NA,NA,NA,NA,"0.546",NA,7593.745551,29,4403.313
"MUS",NA,NA,NA,NA,"0.804",NA,14180.4379,53,1267.185
"MWI",NA,NA,NA,NA,"0.483",NA,8099.266794,30,18143.217
"NAM",NA,NA,NA,NA,"0.646",NA,12366.27969,51,2448.301
"NER",NA,NA,NA,NA,"0.394",NA,12927.65499,32,22442.822
"NGA",NA,NA,NA,NA,"0.539",NA,474516.65,25,195874.683
"NIC",NA,NA,NA,NA,"0.66",365.66,12520.88529,22,6465.501
"NPL",NA,NA,NA,NA,"0.602",NA,30714.93474,33,28095.714
"OMN",NA,NA,NA,NA,"0.813",414.85,76331.51867,54,4829.473
"PAN",NA,NA,NA,NA,"0.815",368.96,66787.86684,35,4176.869
"PER",NA,NA,NA,NA,"0.777",419.49,226850.3928,38,31989.26
"PHL",NA,NA,NA,NA,"0.718",NA,359354.4378,34,106651.394
"PLW",NA,NA,NA,NA,"0.826",NA,280.429406,NA,17.907
"PNG",NA,NA,NA,NA,"0.555",NA,24969.70315,27,8606.323
"PRY",NA,NA,NA,NA,"0.728",366.83,38086.70771,28,6956.066
"PSE",NA,NA,NA,NA,"0.708",NA,17058.7,NA,4862.979
"QAT",NA,NA,NA,NA,"0.848",438.9,183466.2088,63,2781.682
"ROU",NA,NA,NA,NA,"0.828",469.42,250075.9688,44,19506.114
"RUS",NA,NA,NA,NA,"0.824",551.63,1692930.151,30,145734.038
"RWA",NA,NA,NA,NA,"0.543",NA,10355.25071,54,12301.97
"SAU",NA,NA,NA,NA,"0.854",375.6,792966.9567,53,33702.756
"SDN",NA,NA,NA,NA,"0.51",NA,34895.36208,16,41801.533
"SEN",NA,NA,NA,NA,"0.512",NA,23664.51507,45,15854.323
"SGP",NA,NA,NA,NA,"0.938",619.17,372073.8917,85,5757.499
"SLB",NA,NA,NA,NA,"0.567",NA,1302.683941,42,652.857
"SLE",NA,NA,NA,NA,"0.452",NA,4121.733685,33,7650.15
"SLV",NA,NA,NA,NA,"0.673",NA,27022.64,36,6420.746
"SRB",NA,NA,NA,NA,"0.806",512.22,51475.03691,38,8802.754
"SSD",NA,NA,NA,NA,"0.433",NA,4959.75692,12,10975.927
"STP",NA,NA,NA,NA,"0.625",NA,421.777679,47,211.028
"SUR",NA,NA,NA,NA,"0.738",NA,3697.313623,38,575.99
"SVK",NA,NA,NA,NA,"0.86",495.32,105079.673,49,5453.014
"SVN",NA,NA,NA,NA,"0.917",518.04,54174.22731,60,2077.837
"SWZ",NA,NA,NA,NA,"0.611",NA,4594.332076,33,1136.281
"SYC",NA,NA,NA,NA,"0.796",NA,1698.865195,66,97.096
"SYR",NA,NA,NA,NA,"0.567",NA,20379.23255,14,16945.057
"TCD",NA,NA,NA,NA,"0.398",NA,11271.66391,21,15477.729
"TGO",NA,NA,NA,NA,"0.515",NA,7270.01341,29,7889.093
"THA",NA,NA,NA,NA,"0.777",440.25,542016.9892,36,69428.453
"TJK",NA,NA,NA,NA,"0.668",NA,8333.110653,25,9100.835
"TKM",NA,NA,NA,NA,"0.715",NA,48276.46671,19,5850.901
"TLS",NA,NA,NA,NA,"0.606",NA,2017.924924,40,1267.974
"TON",NA,NA,NA,NA,"0.725",NA,508.414689,NA,103.197
"TTO",NA,NA,NA,NA,"0.796",438.75,23208.52823,40,1389.843
"TUN",NA,NA,NA,NA,"0.74",384.12,38797.40893,44,11565.201
"TUR",NA,NA,NA,NA,"0.82",470.39,761425.5922,40,82340.088
"TZA",NA,NA,NA,NA,"0.529",NA,62942.61444,38,56313.438
"UGA",NA,NA,NA,NA,"0.544",NA,32609.11959,27,42729.036
"UKR",NA,NA,NA,NA,"0.779",NA,153781.1326,33,44246.156
"URY",NA,NA,NA,NA,"0.817",445.45,56045.9527,71,3449.285
"UZB",NA,NA,NA,NA,"0.72",NA,57921.28567,26,32476.244
"VCT",NA,NA,NA,NA,"0.738",NA,825.385185,59,110.211
"VEN",NA,NA,NA,NA,"0.711",NA,134960.2885,15,28887.118
"VNM",NA,NA,NA,NA,"0.704",520.04,261921.2292,36,95545.962
"VUT",NA,NA,NA,NA,"0.609",NA,906.666071,43,292.68
"WSM",NA,NA,NA,NA,"0.715",NA,844.656299,NA,196.129
"YEM",NA,NA,NA,NA,"0.47",NA,24935.39164,15,28498.683
"ZMB",NA,NA,NA,NA,"0.584",NA,23085.06114,33,17351.708
"ZWE",NA,NA,NA,NA,"0.571",NA,21440.75884,24,14438.802
"PRI",NA,NA,NA,NA,NA,396.29,104988.586,NA,3039.596
"TWN",NA,NA,NA,NA,NA,597.75,NA,65,23726.46
"BMU",NA,NA,NA,NA,NA,NA,7361.2,NA,62.756
"ABW",NA,NA,NA,NA,NA,NA,3293.04581,NA,105.845
"CYM",NA,NA,NA,NA,NA,NA,6020.184081,NA,64.174
"PYF",NA,NA,NA,NA,NA,NA,6023.367689,NA,277.679
"GRL",NA,NA,NA,NA,NA,NA,3023.601252,NA,56.564
"PRK",NA,NA,NA,NA,NA,NA,16331.45231,18,25549.604
"MCO",NA,NA,NA,NA,NA,NA,7423.907159,NA,38.682
"MSR",NA,NA,NA,NA,NA,NA,67.288889,NA,4.993
"NRU",NA,NA,NA,NA,NA,NA,132.846561,NA,10.67
"NCL",NA,NA,NA,NA,NA,NA,9879.709561,NA,279.993
"SMR",NA,NA,NA,NA,NA,NA,1602.030114,NA,33.785
"SOM",NA,NA,NA,NA,NA,NA,1626.302864,12,15008.226
"TCA",NA,NA,NA,NA,NA,NA,1197.42,NA,37.665
"TUV",NA,NA,NA,NA,NA,NA,47.003262,NA,11.508
"VGB",NA,NA,NA,NA,NA,NA,1296.954245,NA,29.802
"AIA",NA,NA,NA,NA,NA,NA,379.58436,NA,14.731
"CUW",NA,NA,NA,NA,NA,NA,3101.787709,NA,162.752
"SXM",NA,NA,NA,NA,NA,NA,1009,NA,41.94
"KSV",NA,NA,NA,NA,NA,NA,NA,36,NA
"ASM",NA,NA,NA,NA,NA,NA,NA,NA,55.465
"FRO",NA,NA,NA,NA,NA,NA,NA,NA,48.497
"FLK",NA,NA,NA,NA,NA,NA,NA,NA,3.234
"GIB",NA,NA,NA,NA,NA,NA,NA,NA,33.718
"GLP",NA,NA,NA,NA,NA,NA,NA,NA,399.848
"GUM",NA,NA,NA,NA,NA,NA,NA,NA,165.768
"VAT",NA,NA,NA,NA,NA,NA,NA,NA,0.801
"MTQ",NA,NA,NA,NA,NA,NA,NA,NA,375.673
"ANT",NA,NA,NA,NA,NA,NA,NA,NA,277.483
"NIU",NA,NA,NA,NA,NA,NA,NA,NA,1.62
"MNP",NA,NA,NA,NA,NA,NA,NA,NA,56.882
"REU",NA,NA,NA,NA,NA,NA,NA,NA,882.526
"SHN",NA,NA,NA,NA,NA,NA,NA,NA,6.035
"SPM",NA,NA,NA,NA,NA,NA,NA,NA,5.849
"ESH",NA,NA,NA,NA,NA,NA,NA,NA,567.402
"TKL",NA,NA,NA,NA,NA,NA,NA,NA,1.319
"VIR",NA,NA,NA,NA,NA,NA,NA,NA,104.68
"WLF",NA,NA,NA,NA,NA,NA,NA,NA,11.661
"CHI",NA,NA,NA,NA,NA,NA,NA,NA,170.499
"IMN",NA,NA,NA,NA,NA,NA,NA,NA,84.077
"MYT",NA,NA,NA,NA,NA,NA,NA,NA,259.531
"BES",NA,NA,NA,NA,NA,NA,NA,NA,25.711
"MAF",NA,NA,NA,NA,NA,NA,NA,NA,37.264
"BLM",NA,NA,NA,NA,NA,NA,NA,NA,9.816
